"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C24","CAPC2012X135N","75.8365mm","30.1625mm","75.8365mm","30.1625mm","75.8365mm","29.2625mm","T","90.00","CapC-0805-4.7uF 10V"
"C25","CAP_1005-0402","73.3mm","24.9mm","73.3mm","24.9mm","73.8mm","24.9mm","T","180.00","CapC-0402-4.7uF-10V"
"C26","CAP_EL_5mm","65.9257mm","34.798mm","65.9384mm","34.798mm","67.818mm","34.798mm","T","270.00","CapE-5.0-100uF-6.3V"
"D1","SC-85","12.8mm","9.2mm","12.8mm","9.2mm","11.85mm","9.85mm","T","270.00","Diode Schottky 700mA 20V"
"HB-OUT1","TERM2_5MM","88.373mm","6.1mm","85.873mm","6.1mm","85.873mm","6.1mm","T","360.00","Screw Terminal 5mm 2-Way"
"HB-PWR1","TERM2_5MM","78.373mm","6.1mm","75.873mm","6.1mm","75.873mm","6.1mm","T","360.00","Screw Terminal 5mm 2-Way"
"U4","SOT23-6N","79.875mm","23.5035mm","79.875mm","23.491mm","78.925mm","22.316mm","T","90.00","AOZ1282CI"
"L2","SRN6045TA_SMD_Inductor","82.296mm","29.5275mm","82.296mm","29.5275mm","82.296mm","27.4525mm","T","180.00","Inductor SMD 33uH 2.5A"
"LD5","LED_1608-0603","78.6mm","18.15mm","78.6mm","18.15mm","77.75mm","18.15mm","T","360.00","GREEN"
"LD6","LED_1608-0603","61.341mm","17.018mm","61.341mm","17.018mm","60.491mm","17.018mm","T","360.00","GREEN"
"LD2","LED_1608-0603","53.721mm","17.018mm","53.721mm","17.018mm","52.871mm","17.018mm","T","360.00","GREEN"
"LD4","LED_1608-0603","57.531mm","17.018mm","57.531mm","17.018mm","56.681mm","17.018mm","T","360.00","GREEN"
"MAIN-PWR1","TERM2_5MM","68.373mm","6.1mm","65.873mm","6.1mm","65.873mm","6.1mm","T","360.00","Screw Terminal 5mm 2-Way"
"PS_ON","HDR1X2-HEADER","83.82mm","35.052mm","85.09mm","35.052mm","85.09mm","35.052mm","T","180.00","Header 2"
"R63","RESC1005X40N","76.7935mm","24.4205mm","76.7935mm","24.4205mm","76.7935mm","23.9205mm","T","90.00","Res-0402-54.9K"
"R65","RESC1005X40N","76.7935mm","22.1845mm","76.7935mm","22.1845mm","76.7935mm","21.6845mm","T","90.00","Res-0402-10K"
"R41","RESC1005X40N","79.865mm","16.31mm","79.865mm","16.31mm","79.865mm","16.81mm","T","270.00","Res-0402-10R"
"R46","RESC1005X40N","78.595mm","16.31mm","78.5949mm","16.31mm","78.595mm","15.81mm","T","90.00","Res-0402-100K"
"R43","RESC1005X40N","77.325mm","16.31mm","77.325mm","16.31mm","77.325mm","16.81mm","T","270.00","Res-0402-1K"
"R49","RESC1005X40N","46.0375mm","24.003mm","46.0375mm","24.003mm","46.0375mm","23.503mm","T","90.00","Res-0402-4K7"
"R50","RESC1005X40N","51.181mm","24.003mm","51.181mm","24.003mm","51.181mm","23.503mm","T","90.00","Res-0402-4K7"
"R56","RESC1005X40N","61.341mm","24.003mm","61.341mm","24.003mm","61.341mm","23.503mm","T","90.00","Res-0402-4K7"
"R34","RESC1005X40N","58.801mm","15.113mm","58.801mm","15.113mm","58.801mm","15.613mm","T","270.00","Res-0402-10R"
"R37","RESC1005X40N","57.531mm","15.113mm","57.531mm","15.113mm","57.531mm","15.613mm","T","270.00","Res-0402-100K"
"R42","RESC1005X40N","62.611mm","15.113mm","62.611mm","15.113mm","62.611mm","15.613mm","T","270.00","Res-0402-10R"
"R45","RESC1005X40N","61.341mm","15.113mm","61.341mm","15.113mm","61.341mm","15.613mm","T","270.00","Res-0402-100K"
"R44","RESC1005X40N","60.071mm","15.113mm","60.071mm","15.113mm","60.071mm","15.613mm","T","270.00","Res-0402-1K"
"R26","RESC1005X40N","54.991mm","15.113mm","54.991mm","15.113mm","54.991mm","15.613mm","T","270.00","Res-0402-10R"
"R29","RESC1005X40N","53.721mm","15.113mm","53.721mm","15.113mm","53.721mm","15.613mm","T","270.00","Res-0402-100K"
"R28","RESC1005X40N","52.451mm","15.113mm","52.451mm","15.113mm","52.451mm","15.613mm","T","270.00","Res-0402-1K"
"R36","RESC1005X40N","56.261mm","15.113mm","56.261mm","15.113mm","56.261mm","15.613mm","T","270.00","Res-0402-1K"
"FAN_VDD_SEL1","HDR1X3-HEADER","65.151mm","16.002mm","65.151mm","18.542mm","65.151mm","18.542mm","T","270.00","Header 3"
"C23","CAPC2012X135N","77.6365mm","30.1625mm","77.6365mm","30.1625mm","77.6365mm","29.2625mm","T","90.00","CapC-0805-4.7uF 10V"
"D2","DIOM2616X08N","88.2015mm","23.114mm","88.2015mm","23.114mm","88.2015mm","22.014mm","T","270.00","Diode Schottky 2A 40V"
"D4","DIOM2616X08N","77.1525mm","26.8605mm","77.1525mm","26.8605mm","76.0525mm","26.8605mm","T","180.00","Diode Schottky 2A 40V"
"U3","SOT23-6N","8.4375mm","11.95mm","8.425mm","11.95mm","7.25mm","12.9mm","T","0.00","USBLC6 USB ESD Protection"
"SD_BREAKOUT","HDR1X6-HEADER","2.032mm","45.72mm","2.032mm","52.07mm","2.032mm","52.07mm","T","270.00","Header 6"
"R55","RESC1005X40N","56.1975mm","24.003mm","56.1975mm","24.003mm","56.1975mm","23.503mm","T","90.00","Res-0402-4K7"
"X_STEP","HEADER-1X2-50MIL","15.585mm","38.65mm","318.48mm","-269.96mm","16.22mm","38.65mm","T","180.00","Header 2"
"Y_STEP","HEADER-1X2-50MIL","34.127mm","38.65mm","337.022mm","-269.96mm","34.762mm","38.65mm","T","180.00","Header 2"
"Z_STEP","HEADER-1X2-50MIL","52.6735mm","38.6545mm","355.5685mm","-269.9555mm","53.3085mm","38.6545mm","T","180.00","Header 2"
"E0_STEP","HEADER-1X2-50MIL","71.2155mm","38.6545mm","374.1105mm","-269.9555mm","71.8505mm","38.6545mm","T","180.00","Header 2"
"E1_STEP","HEADER-1X2-50MIL","89.7575mm","38.6545mm","392.6525mm","-269.9555mm","90.3925mm","38.6545mm","T","180.00","Header 2"

